Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
j7hikGd6YqPqZZ5fRbau,PO-000003,2024-06-17,2022-03-17,,,3,69,69,completed,delivery,2022-03-08,,,iyecptCf2ib79GmaepWK,,ed2XEZm3vfqEJOu8CSVd,,,,FALSE
d6bAL3PMvCSDZSl1zqzY,PO-000001,2024-06-17,2022-03-18,,,9,"302,42","302,42",completed,delivery,2022-03-09,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
0cnAM1BeT8FdIxRTUMe5,PO-000001,2024-06-17,2022-03-19,,,1,"26,25","26,25",completed,delivery,2022-02-15,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
oBZlacRi4MKomimXoynP,PO-000001,2024-06-17,2022-03-26,,,9,"303,28","303,28",completed,delivery,2022-03-23,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
zeUCvvPgeYKrHRL8bHbw,PO-000001,2024-06-17,2022-03-26,,,1,65,65,completed,delivery,2022-02-22,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
7yoF0U6rTXlmlCVJbVt4,PO-000004,2024-06-17,2022-03-27,,,3,60,60,completed,delivery,2022-03-15,,,iyecptCf2ib79GmaepWK,,ed2XEZm3vfqEJOu8CSVd,,,,FALSE
UlxMSaeRUMQNxTz5ukLC,PO-000001,2024-06-17,2022-03-28,,,3,30,30,completed,pickup,2022-04-01,,,9RMSz3WXxOJBhcHJsiq0,,,,,,FALSE
ksx0snuYZa17SCVJNq6x,PO-000001,2024-06-17,2022-03-30,,,2,60,60,completed,delivery,2022-03-01,0,,ND021xr8L4qkAQUSIYKx,,vzyyzj3nmufyqDninSCQ,,,,FALSE
7KvarIdunmf6c1eZ74DR,PO-000001,2024-06-17,2022-04-01,,,10,"260,03","260,03",completed,delivery,2022-03-23,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
CgtE3xt7DFGcG8raXdbW,PO-000001,2024-06-17,2022-04-01,,,2,188,188,completed,delivery,2022-04-06,20,,rNLpukH8UjWpXmu889ym,,01vvuU5DBHzljemulhPS,,,,FALSE
ZGYHOWue46bjA1QJyjgk,PO-000001,2024-06-17,2022-04-05,,,2,265,265,confirmed,delivery,2022-03-25,25,,awSCzGH4um0ty854qtOO,,yMtx9OCrdMIQKuei5zmB,,,,FALSE
kd2DXI41xhFXWMoSuyy9,PO-000001,2024-06-17,2022-04-05,,,1,80,80,completed,delivery,2022-03-24,0,,pnuZvQdo57xLhdwSHviS,,yMtx9OCrdMIQKuei5zmB,,,,FALSE
Kd2q5UvBsmhi6JiGVxQb,PO-000120,2024-06-17,2022-04-06,,,2,"151,5","151,5",completed,delivery,2022-03-23,,,96WfyBWlY4LIxh97AbYd,,vzyyzj3nmufyqDninSCQ,,,,FALSE
yN3obmbVBUM8W4FYW5pY,PO-000001,2024-06-17,2022-04-06,,,1,96,96,completed,delivery,2022-03-28,15,,7EgGwqYYOZYDxoWiXG57,,bujiIptrW9Y5DUolpQU5,,,,FALSE
CQj3ocetJ93SnOIntGrp,PO-000001,2024-06-17,2022-04-08,,,11,"292,84","292,84",completed,delivery,2022-03-30,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
fOMgMPxMMsGweYK1UFpu,PO-000001,2024-06-17,2022-04-11,,,3,"79,5","81,75",completed,delivery,2022-04-07,15,,Y5Pl07wxbJKSGGObGIXR,,FbAigGO51Eyn7kA7hZuo,,,,FALSE
zlcaTASq7CJFtBMIabiZ,PO-000002,2024-06-17,2022-04-11,,,3,92,"93,5",completed,delivery,2022-03-31,10,,pnuZvQdo57xLhdwSHviS,,FbAigGO51Eyn7kA7hZuo,,,,FALSE
ZNgXT1QvKdTlSPewF7XG,PO-000005,2024-06-17,2022-04-12,,,1,70,70,completed,delivery,2022-04-07,,,iyecptCf2ib79GmaepWK,,1jv3zCpNb7lsbzdktWXs,,,,FALSE
k6G2vlKrbtBo0QXfMqND,PO-000024,2024-06-17,2022-04-12,,,2,164,164,completed,delivery,2022-03-31,0,,xNtjzzMTE4Jfvrml7yaw,,XXzY7nNdCc2EI4g2kVdg,,,,FALSE
