Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
VARohZYl4284bwfcRsCA,PO221108-4760,2024-06-17,2022-11-23,,,4,"103,6","103,6",cancelledByVendor,delivery,2022-11-09,15,,5bfmJqpmAAHRFyEckXDP,,Alfk0rtkXCazOYfEOwPT,,Alfk0rtkXCazOYfEOwPT,,TRUE
WAGy1b5mWOwbAM50nEpL,PO-000035,2024-06-17,2022-01-04,,,3,123,123,cancelledByVendor,delivery,2021-12-22,15,,5bfmJqpmAAHRFyEckXDP,,,,,,FALSE
Wg0fj22qbTvek0Hxjmtm,,2024-06-17,2021-12-02,,,12,"155,5","155,5",cancelledByCustomer,delivery,2021-11-04,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
Wi4E18Lj3awR9tBZqyM5,PO220729-5496,2024-06-17,2022-08-28,,,5,"916,5","916,5",cancelledByVendor,delivery,2022-08-04,0,,OosAh6jwi62Cd5fvEZ8V,,4yrii8tdlmMFhSyH85dB,,4yrii8tdlmMFhSyH85dB,,TRUE
WpCnKDrEjfm9o76EkPED,PO230222-0120,2024-06-17,2023-03-09,,,3,115,115,cancelledByVendor,delivery,2023-03-02,0,,KQHvMD1fQ7jPyrC5nWsK,,wff3QDbtmySxiUgQiaR3,,wff3QDbtmySxiUgQiaR3,,TRUE
X4MfuYsJL2Ul6N5ph6SK,PO220916-3064,2024-06-17,2022-10-01,,,1,"1,9","1,9",cancelledByVendor,delivery,2022-09-16,0,,cMU8oxxvoIYn85Ok0nIa,,,,cMU8oxxvoIYn85Ok0nIa,,TRUE
Y7pd5O6F9YfpWG4I9QOS,230629-7144,2024-06-17,2023-07-06,,,2,"219,86","219,86",cancelledByVendor,delivery,2023-07-04,0,,OosAh6jwi62Cd5fvEZ8V,,DdCumyx81ilLByGwOoPo,,OosAh6jwi62Cd5fvEZ8V,,TRUE
ZaEMv23DzJgRPhPi9gBu,PO240123-2984,2024-06-17,2024-02-07,,,7,561,561,cancelledByVendor,delivery,2024-01-25,0,,KQHvMD1fQ7jPyrC5nWsK,,yMtx9OCrdMIQKuei5zmB,,yMtx9OCrdMIQKuei5zmB,,TRUE
ZfLTNuiFDjilxnNsDfCa,PO-000003,2024-06-17,2020-11-30,,,1,40,40,cancelledByCustomer,delivery,2020-12-29,0,,oNCxXdJ88T7aEWzhTFvM,,,,,,FALSE
ZlmXXHfBzqajWVH3kNxZ,230607-0672,2024-06-17,2023-06-14,,,4,190,190,cancelledByVendor,delivery,2023-06-09,0,,OosAh6jwi62Cd5fvEZ8V,,j2o1LdybvFM5UvDkcGP6,,j2o1LdybvFM5UvDkcGP6,,TRUE
